NIM,IPK
192410101001,3.623
192410101002,3.515
192410101003,3.846
192410101004,3.469
192410101005,3.031
192410101007,3.623
192410101008,3.431
192410101009,3.392
192410101010,3.362
192410101011,3.423
192410101012,3.292
192410101013,2.825
192410101014,2.950
192410101015,3.215
192410101016,3.654
192410101017,3.408
192410101018,3.531
192410101019,3.546
192410101020,3.308
192410101021,3.231
192410101022,3.646
192410101023,3.177
192410101024,3.362
192410101025,3.792
192410101026,3.354
192410101027,3.285
192410101028,3.723
192410101029,3.538
192410101030,3.846
192410101031,3.531
192410101032,3.262
192410101033,3.569
192410101034,3.231
192410101035,3.562
192410101036,3.754
192410101037,3.677
192410101038,3.192
192410101039,3.608
192410101040,3.631
192410101041,3.546
192410101042,3.515
192410101043,3.531
192410101044,3.777
192410101045,2.613
192410101046,3.354
192410101047,3.823
192410101048,3.762
192410101049,3.646
192410101050,3.600
192410101051,3.900
192410101052,3.408
192410101053,3.738
192410101054,3.769
192410101055,3.762
192410101056,3.339
192410101057,3.523
192410101059,3.292
192410101060,3.646
192410101061,3.808
192410101062,3.531
192410101063,3.654
192410101064,1.550
192410101065,2.670
192410101066,3.608
192410101067,3.446
192410101068,3.500
192410101069,3.646
192410101070,3.608
192410101071,3.754
192410101072,3.500
192410101073,3.615
192410101075,3.138
192410101076,3.508
192410101077,3.708
192410101078,3.800
192410101079,3.692
192410101080,3.462
192410101082,3.769
192410101083,3.815
192410101084,3.692
192410101085,3.600
192410101086,3.762
192410101087,3.700
192410101088,3.708
192410101089,3.569
192410101090,3.777
192410101091,3.446
192410101092,3.762
192410101093,3.585
192410101094,3.577
192410101095,3.585
192410101096,3.354
192410101097,3.638
192410101098,3.226
192410101099,3.500
192410101100,3.485
192410101101,3.554
192410101102,3.746
192410101104,3.708
192410101105,3.585
192410101106,3.685
192410101107,3.515
192410101108,3.969
192410101109,3.631
192410101110,3.800
192410101111,2.738
192410101112,3.554
192410101113,3.592
192410101114,3.438
192410101115,3.277
192410101116,3.769
192410101117,3.677
192410101118,3.338
192410101119,3.354
192410101120,3.500
192410101121,3.331
192410101122,3.346
192410101123,3.056
192410101124,3.362
192410101125,2.877
192410101126,3.508
192410101127,3.554
192410101128,3.485
192410101129,3.600
192410101130,3.546
192410101131,3.685
192410101132,3.215
192410101133,3.415
192410101134,3.531
192410101135,3.585
192410101136,2.413
192410101137,3.623
192410101138,3.538
192410101139,3.408
192410101140,3.600
192410101141,3.285
192410101142,3.262
192410101143,3.231
192410101144,3.223
192410101145,2.774
